key,value
firstname_Scott,myCSV10.csv
firstname_Michael,myCSV10.csv
firstname_Scott,myCSV10.csv
firstname_Steven,myCSV10.csv
firstname_Scott,myCSV10.csv
firstname_Michael,myCSV10.csv
firstname_Johanna,myCSV10.csv
firstname_Scott,myCSV10.csv
firstname_Albert,myCSV10.csv
firstname_Scott,myCSV10.csv
secondname_Epstein,myCSV10.csv
secondname_Starr,myCSV10.csv
secondname_Sutcliffe,myCSV10.csv
secondname_Starr,myCSV10.csv
secondname_Starr,myCSV10.csv
secondname_Sutcliffe,myCSV10.csv
secondname_Preston,myCSV10.csv
secondname_Ono,myCSV10.csv
secondname_Sutcliffe,myCSV10.csv
secondname_Lennon,myCSV10.csv
city_Kiel,myCSV10.csv
city_TelAviv,myCSV10.csv
city_Haifa,myCSV10.csv
city_Munchen,myCSV10.csv
city_PaloAlto,myCSV10.csv
city_PaloAlto,myCSV10.csv
city_TelAviv,myCSV10.csv
city_London,myCSV10.csv
city_Haifa,myCSV10.csv
city_Kiel,myCSV10.csv
