StationCode,Date,Rainfall
136320,18-10-2005,0.1
136320,19-10-2005,0.5
136320,20-10-2005,0.1
136320,29-10-2005,0.6
136320,30-10-2005,5.3
136320,31-10-2005,0.6
136320,04-11-2005,1.4
136320,06-11-2005,1.4
136320,07-11-2005,1.9
136320,14-11-2005,0.5
136320,15-11-2005,4.4
136320,16-11-2005,0.3
136320,20-11-2005,4.5
136320,21-11-2005,23.9
136320,16-12-2005,26.5
136320,17-12-2005,0.9
136320,19-12-2005,0.5
136320,20-12-2005,3.2
136320,21-12-2005,0.7
136320,22-12-2005,2.3
136320,23-12-2005,3.8
136320,24-12-2005,36.2
136320,25-12-2005,6.3
136320,26-12-2005,0.7
136320,04-01-2006,0.1
136320,07-01-2006,2.7
136320,08-01-2006,1.9
136320,09-01-2006,0.4
136320,10-01-2006,24.0
136320,11-01-2006,72.2
136320,12-01-2006,14.3
136320,13-01-2006,5.7
136320,14-01-2006,10.8
136320,15-01-2006,7.6
136320,16-01-2006,1.7
136320,17-01-2006,10.1
136320,18-01-2006,10.1
136320,20-01-2006,0.5
136320,25-01-2006,8.0
136320,26-01-2006,0.6
136320,27-01-2006,0.3
136320,02-02-2006,2.5
136320,03-02-2006,11.6
136320,08-02-2006,11.1
136320,09-02-2006,3.3
136320,13-02-2006,3.0
136320,14-02-2006,6.5
136320,15-02-2006,4.3
136320,16-02-2006,1.6
136320,09-03-2006,2.0
136320,15-03-2006,0.5
136320,24-03-2006,0.5
136320,01-04-2006,20.0
136320,04-04-2006,6.3
136320,05-04-2006,11.6
136320,15-04-2006,10.0
136320,16-04-2006,1.4
136320,24-04-2006,3.5
136320,14-10-2006,5.4
136320,15-10-2006,1.6
136320,16-10-2006,2.5
136320,19-10-2006,0.3
136320,20-10-2006,0.4
136320,24-10-2006,4.8
136320,25-10-2006,1.1
136320,27-10-2006,16.9
136320,28-10-2006,22.8
136320,29-10-2006,0.2
136320,01-11-2006,2.6
136320,02-11-2006,1.0
136320,04-11-2006,8.8
136320,14-11-2006,8.2
136320,12-12-2006,4.0
136320,21-12-2006,0.6
136320,22-12-2006,4.4
136320,23-12-2006,2.2
136320,26-12-2006,60.5
136320,27-12-2006,6.4
136320,29-12-2006,0.1
136320,30-12-2006,2.6
136320,31-12-2006,28.2
136320,05-01-2007,14.2
136320,06-01-2007,19.5
136320,07-01-2007,3.2
136320,20-01-2007,10.5
136320,28-01-2007,1.1
136320,30-01-2007,21.2
136320,31-01-2007,0.5
136320,02-02-2007,0.8
136320,03-02-2007,15.4
136320,04-02-2007,2.5
136320,05-02-2007,15.3
136320,06-02-2007,7.1
136320,09-02-2007,1.3
136320,13-02-2007,0.3
136320,15-02-2007,3.2
136320,17-02-2007,1.1
136320,25-02-2007,0.7
136320,26-02-2007,2.4
136320,28-02-2007,0.1
136320,01-03-2007,11.1
136320,13-03-2007,7.4
136320,14-03-2007,9.8
136320,15-03-2007,2.7
136320,16-03-2007,9.3
136320,23-03-2007,0.1
136320,26-03-2007,1.7
136320,31-03-2007,4.7
136320,01-04-2007,0.1
136320,12-04-2007,0.4
136320,18-04-2007,1.3
136320,07-06-2007,0.1
136320,09-11-2007,2.3
136320,11-11-2007,0.4
136320,19-11-2007,15.1
136320,20-11-2007,18.3
136320,21-11-2007,46.2
136320,22-11-2007,5.1
136320,01-12-2007,2.0
136320,06-12-2007,15.6
136320,07-12-2007,28.9
136320,18-12-2007,1.7
136320,19-12-2007,4.7
136320,20-12-2007,8.1
136320,22-12-2007,1.9
136320,02-01-2008,0.5
136320,03-01-2008,12.7
136320,04-01-2008,8.6
136320,07-01-2008,17.4
136320,08-01-2008,6.4
136320,09-01-2008,2.5
136320,21-01-2008,0.7
136320,22-01-2008,3.9
136320,25-01-2008,0.6
136320,26-01-2008,17.1
136320,27-01-2008,2.8
136320,28-01-2008,0.1
136320,29-01-2008,21.6
136320,30-01-2008,5.6
136320,31-01-2008,0.1
136320,08-02-2008,0.1
136320,12-02-2008,2.9
136320,13-02-2008,15.9
136320,14-02-2008,34.3
136320,18-02-2008,3.1
136320,19-02-2008,3.6
136320,25-02-2008,5.0
136320,26-02-2008,0.9
136320,29-02-2008,0.5
136320,29-03-2008,0.1
136320,08-05-2008,0.4
136320,27-09-2008,1.7
136320,29-09-2008,0.3
136320,14-10-2008,10.3
136320,25-10-2008,2.9
136320,26-10-2008,8.2
136320,27-10-2008,20.7
136320,28-10-2008,9.2
136320,29-10-2008,6.6
136320,12-11-2008,7.6
136320,21-11-2008,0.3
136320,22-11-2008,8.4
136320,08-12-2008,0.6
136320,09-12-2008,3.4
136320,13-12-2008,1.8
136320,14-12-2008,0.2
136320,20-12-2008,0.4
136320,22-12-2008,2.1
136320,23-12-2008,48.0
136320,24-12-2008,12.9
136320,25-12-2008,5.4
136320,29-12-2008,6.0
136320,30-12-2008,1.0
136320,31-12-2008,0.2
136320,07-01-2009,0.6
136320,11-01-2009,0.4
136320,17-01-2009,0.3
136320,18-01-2009,0.3
136320,31-01-2009,1.9
136320,01-02-2009,0.2
136320,09-02-2009,2.7
136320,10-02-2009,6.6
136320,16-02-2009,4.7
136320,17-02-2009,3.1
136320,19-02-2009,2.3
136320,20-02-2009,12.1
136320,21-02-2009,4.4
136320,22-02-2009,30.7
136320,26-02-2009,2.0
136320,27-02-2009,38.8
136320,28-02-2009,16.4
136320,01-03-2009,3.5
136320,02-03-2009,3.3
136320,03-03-2009,4.1
136320,08-03-2009,1.0
136320,13-03-2009,1.0
136320,14-03-2009,1.6
136320,23-03-2009,6.3
136320,24-03-2009,3.2
136320,27-03-2009,0.5
136320,28-03-2009,0.1
136320,19-09-2009,2.3
136320,20-09-2009,0.9
136320,29-10-2009,20.2
136320,30-10-2009,33.8
136320,31-10-2009,11.0
136320,01-11-2009,2.0
136320,02-11-2009,28.5
136320,03-11-2009,3.7
136320,13-11-2009,2.2
136320,16-11-2009,1.8
136320,17-11-2009,1.0
136320,24-11-2009,0.9
136320,03-12-2009,0.6
136320,06-12-2009,2.9
136320,07-12-2009,26.7
136320,08-12-2009,3.4
136320,09-12-2009,0.1
136320,11-12-2009,2.2
136320,13-12-2009,2.7
136320,14-12-2009,1.4
136320,17-12-2009,11.3
136320,18-12-2009,27.4
136320,21-12-2009,1.5
136320,22-12-2009,2.9
136320,29-12-2009,1.9
136320,30-12-2009,29.3
136320,03-01-2010,0.1
136320,04-01-2010,0.2
136320,17-01-2010,7.8
136320,18-01-2010,7.4
136320,19-01-2010,0.9
136320,20-01-2010,9.6
136320,21-01-2010,7.3
136320,24-01-2010,6.9
136320,25-01-2010,2.2
136320,30-01-2010,0.7
136320,02-02-2010,0.2
136320,03-02-2010,0.7
136320,04-02-2010,1.3
136320,05-02-2010,2.6
136320,25-02-2010,41.6
136320,26-02-2010,18.6
136320,27-02-2010,0.1
136320,28-02-2010,17.4
136320,01-03-2010,0.7
136320,17-03-2010,3.8
136320,18-03-2010,0.1
136320,26-03-2010,9.9
136320,07-04-2010,0.9
136320,21-04-2010,0.3
136320,30-04-2010,0.1
136320,01-05-2010,1.1
136320,23-05-2010,0.3
136320,25-06-2010,0.5
136320,08-10-2010,1.5
136320,10-10-2010,0.1
136320,30-10-2010,0.1
136320,05-12-2010,3.0
136320,10-12-2010,1.3
136320,11-12-2010,4.9
136320,12-12-2010,53.9
136320,13-12-2010,5.7
136320,30-12-2010,0.4
136320,31-12-2010,2.6
136320,01-01-2011,0.7
136320,04-01-2011,14.3
136320,05-01-2011,7.6
136320,06-01-2011,0.4
136320,07-01-2011,5.3
136320,08-01-2011,0.7
136320,09-01-2011,1.9
136320,10-01-2011,1.5
136320,14-01-2011,18.6
136320,15-01-2011,2.7
136320,16-01-2011,2.9
136320,26-01-2011,1.9
136320,28-01-2011,2.0
136320,29-01-2011,11.4
136320,30-01-2011,4.6
136320,31-01-2011,4.7
136320,01-02-2011,0.3
136320,02-02-2011,0.8
136320,03-02-2011,0.4
136320,04-02-2011,6.1
136320,05-02-2011,2.2
136320,06-02-2011,1.8
136320,07-02-2011,15.2
136320,10-02-2011,40.6
136320,12-02-2011,0.1
136320,14-02-2011,0.1
136320,15-02-2011,0.9
136320,16-02-2011,1.1
136320,20-02-2011,8.6
136320,21-02-2011,0.1
136320,28-02-2011,3.6
136320,07-03-2011,12.6
136320,08-03-2011,14.2
136320,09-03-2011,9.0
136320,10-03-2011,10.4
136320,11-03-2011,19.8
136320,22-03-2011,0.7
136320,23-03-2011,2.8
136320,24-03-2011,6.0
136320,03-04-2011,18.0
136320,04-04-2011,13.0
136320,05-04-2011,3.2
136320,11-04-2011,0.6
136320,12-04-2011,1.1
136320,22-04-2011,0.2
136320,28-04-2011,1.6
136320,30-04-2011,0.1
136320,13-05-2011,3.5
136320,14-05-2011,0.4
136320,27-05-2011,1.1
136320,23-09-2011,2.7
136320,24-09-2011,0.9
136320,25-09-2011,3.6
136320,12-10-2011,0.4
136320,26-10-2011,2.5
136320,27-10-2011,0.5
136320,29-10-2011,1.3
136320,03-11-2011,8.6
136320,04-11-2011,5.9
136320,13-11-2011,2.1
136320,14-11-2011,44.6
136320,16-11-2011,43.2
136320,17-11-2011,37.6
